Latitude,Longitude,CurrentSpeed,FreeFlowSpeed,Confidence,Hour,Minute,DayOfWeek,Weekend,CongestionRatio
10.740840166521663,106.61899246873142,25,35,0.999559,6,45,6,0,0.7143
10.772727584493625,106.69804225297563,19,25,0.991105,6,57,6,0,0.76
10.72279213640514,106.72808623948244,24,37,0.998998,7,26,6,0,0.6486
10.80223925742187,106.6478722259914,26,40,1.0,8,5,6,0,0.65
10.7144382088356,106.73711688366167,23,35,1.0,8,31,6,0,0.6571
10.94927106740351,106.87196348224562,30,41,1.0,8,58,6,0,0.7317
10.774028664434528,106.70357076461706,29,29,1.0,9,3,6,0,1.0
10.772727584493625,106.69804225297563,15,25,1.0,9,6,6,0,0.6
10.83886351241477,106.67566625482782,27,35,0.997228,10,47,6,0,0.7714
10.72279213640514,106.72808623948244,27,37,0.998649,10,55,6,0,0.7297
10.77898143649726,106.67684447140958,22,34,1.0,11,3,6,0,0.6471
10.78866360854368,106.69551372228901,33,42,1.0,11,25,6,0,0.7857
10.741860769464234,106.73790365482627,45,45,1.0,11,56,6,0,1.0
10.774028664434528,106.70357076461706,17,29,1.0,12,4,6,0,0.5862
10.782680856341083,106.70051548181169,17,30,1.0,12,17,6,0,0.5667
10.823400120373712,106.68551227436063,23,31,1.0,12,24,6,0,0.7419
10.786216596454727,106.71836665482695,40,40,1.0,12,27,6,0,1.0
10.843150534972033,106.6151343241409,23,35,1.0,12,31,6,0,0.6571
10.7549373008113,106.67848844133415,23,32,1.0,13,1,6,0,0.7188
10.752408891679814,106.7022703818112,23,34,1.0,13,18,6,0,0.6765
10.777562007197462,106.7041335430398,19,30,1.0,14,8,6,0,0.6333
10.7549373008113,106.67848844133415,22,33,1.0,14,33,6,0,0.6667
10.7144382088356,106.73711688366167,26,35,1.0,15,0,6,0,0.7429
10.786216596454727,106.71836665482695,40,40,1.0,15,7,6,0,1.0
10.801406421807085,106.71148440879679,31,41,1.0,15,19,6,0,0.7561
10.759484371982321,106.6840537511244,18,27,0.998951,15,26,6,0,0.6667
10.765187049751795,106.67550552599073,20,35,1.0,15,55,6,0,0.5714
10.94927106740351,106.87196348224562,31,41,1.0,16,6,6,0,0.7561
10.754895139302109,106.67839188181134,19,33,1.0,16,51,6,0,0.5758
10.782680856341083,106.70051548181169,12,29,1.0,17,13,6,0,0.4138
10.813928881466124,106.66511432455972,16,34,0.999066,17,17,6,0,0.4706
10.777562007197462,106.7041335430398,13,30,1.0,17,40,6,0,0.4333
10.752408891679814,106.7022703818112,16,33,1.0,18,13,6,0,0.4848
10.77898143649726,106.67684447140958,20,35,1.0,18,31,6,0,0.5714
10.94927106740351,106.87196348224562,31,41,1.0,20,34,6,0,0.7561
10.94927106740351,106.87196348224562,32,42,1.0,20,49,6,0,0.7619
10.754895139302109,106.67839188181134,22,33,1.0,20,58,6,0,0.6667
10.777562007197462,106.7041335430398,18,30,1.0,21,32,6,0,0.6
10.865229381280965,106.72366973948475,41,49,1.0,7,12,1,1,0.8367
10.94927106740351,106.87196348224562,30,41,1.0,7,42,1,1,0.7317
10.741860769464234,106.73790365482627,45,45,1.0,8,45,1,1,1.0
10.798986343749618,106.72697056646841,45,45,1.0,9,33,1,1,1.0
10.777562007197462,106.7041335430398,20,30,1.0,10,17,1,1,0.6667
10.752616652291238,106.72509685338922,39,39,1.0,10,27,1,1,1.0
10.741860769464234,106.73790365482627,45,45,1.0,11,5,1,1,1.0
10.754895139302109,106.67839188181134,20,33,1.0,11,6,1,1,0.6061
10.782680856341083,106.70051548181169,17,30,1.0,11,16,1,1,0.5667
10.83886351241477,106.67566625482782,27,36,1.0,11,26,1,1,0.75
10.801406421807085,106.71148440879679,36,42,1.0,12,20,1,1,0.8571
