No,Location/Street,District,"Latitude,Longitude"
1,Cho Ben Thanh,Quan 1,"10.772727584493625, 106.69804225297563"
2,Duong Nguyen Hue,Quan 1,"10.774028664434528, 106.70357076461706"
3,Nguyen Van Linh,Quan 7,"10.752616652291238, 106.72509685338922"
4,Vo Van Kiet,Quan 5,"10.745754766198267, 106.65326266831877"
5,Xa lo Ha Noi,QL1A,"10.94927106740351, 106.87196348224562"
6,Duong Dien Bien Phu,Quan 1,"10.78866360854368, 106.69551372228901"
7,Nga tu Hang Xanh,Binh Thanh,"10.801406421807085, 106.71148440879679"
8,Nga tu An Suong,Hoc Mon,"10.843150534972033, 106.6151343241409"
9,Ben xe Mien Dong,Quan 9,"10.880537767027526, 106.81481342866444"
10,Ben xe Mien Tay,Binh Tan,"10.740840166521663, 106.61899246873142"
11,Cau Sai Gon,Quan 2 ,"10.798986343749618, 106.72697056646841"
12,Cau Phu My,Q2,"10.741860769464234, 106.73790365482627"
13,Cau Kenh Te,Q4,"10.752408891679814, 106.7022703818112"
14,Cau Thu Thiem,Quan 2,"10.786216596454727, 106.71836665482695"
15,Nguyen Huu Canh,Binh Thanh,"10.78948793356203, 106.71518838181179"
16,Cong Hoa,Tan Binh,"10.80223925742187, 106.6478722259914"
17,Truong Son / Tan Son Nhat Blvd,Gan san bay,"10.813928881466124, 106.66511432455972"
18,Nguyen Trai,Quan 5,"10.755608615763382, 106.67347943578082"
19,Le Duan,Quan 1,"10.782680856341083, 106.70051548181169"
20,Tran Hung Dao ,Quan 5,"10.754895139302109, 106.67839188181134"
21,Tran Quoc Thao,Quan 3,"10.785070445194592, 106.68331340921323"
22,Tran Hung Dao,Quan 5,"10.7549373008113, 106.67848844133415"
23,Cach Mang Thang 8 (CMT8),Quan 3,"10.77898143649726, 106.67684447140958"
24,Pham Ngu Lao / Bui Vien,Quan 1,"10.767112828386699, 106.6927618222887"
25,Nguyen Thi Minh Khai,Quan 3,"10.77847212665258, 106.69389510879643"
26,Nguyen Van Troi,Phu Nhuan,"10.796057790235078, 106.67492629345334"
27,Pham Van Dong,Go Vap,"10.835298215641501, 106.72935479345391"
28,Cong truong lam son,Quan 1,"10.777562007197462, 106.7041335430398"
29,Nguyen Oanh ,Go Vap,"10.83886351241477, 106.67566625482782"
30,Le Hong Phong,Quan 10,"10.765187049751795, 106.67550552599073"
31,Nguyen Van Cu,Quan 5,"10.759484371982321, 106.6840537511244"
32,Nga tu Binh Phuoc,Ngoai o,"10.865229381280965, 106.72366973948475"
33,Phu My Hung ,Quan 7,"10.72279213640514, 106.72808623948244"
34,Nguyen Thai Son,Phu Nhuan,"10.823400120373712, 106.68551227436063"
35,An Duong Vuong,Quan 8,"10.756158554057757, 106.66631758181126"
36,Huynh Tan Phat,Nha Be,"10.7144382088356, 106.73711688366167"
38,Truong Chinh,Tan Binh ,"10.817236653231737, 106.63191539530457"
